time(s),p(kPa),Voltage(V)
15.03,0.16,6.05
15.04,0.16,5.97
15.05,0.16,5.95
15.06,0.16,5.93
15.07,0.16,5.89
15.09,0.16,5.86
15.1,0.16,5.81
15.11,0.18,5.77
15.12,0.16,5.78
15.14,0.18,5.65
15.15,0.18,5.65
15.16,0.19,5.57
15.17,0.19,5.56
15.18,0.2,5.48
15.2,0.2,5.46
15.21,0.21,5.36
15.22,0.24,5.32
15.23,0.24,5.36
15.24,0.24,5.23
15.26,0.25,5.12
15.27,0.25,5.06
15.28,0.27,4.92
15.29,0.29,4.92
15.31,0.3,4.84
15.32,0.31,4.76
15.33,0.33,4.69
15.34,0.38,4.66
15.35,0.44,4.78
15.37,0.47,4.97
15.38,0.48,4.92
15.39,0.48,4.82
15.4,0.51,4.63
15.41,0.54,4.58
15.43,0.62,4.58
15.44,0.66,4.81
15.45,0.68,4.89
15.46,0.69,4.75
15.47,0.71,4.6
15.49,0.76,4.52
15.5,0.81,4.58
15.51,0.87,4.62
15.52,0.91,4.76
15.53,0.92,4.74
15.55,0.92,4.54
15.56,0.99,4.28
15.57,1.07,4.46
15.58,1.13,4.64
15.6,1.15,4.74
15.61,1.17,4.61
15.62,1.19,4.41
15.63,1.24,4.26
15.64,1.32,4.27
15.65,1.39,4.52
15.67,1.42,4.6
15.68,1.45,4.5
15.69,1.46,4.35
15.71,1.52,4.13
15.72,1.61,4.17
15.73,1.67,4.4
15.74,1.69,4.46
15.75,1.72,4.3
15.77,1.75,4.1
15.78,1.84,4.01
15.79,1.91,4.23
15.8,1.96,4.32
15.81,1.98,4.29
15.82,2.02,4.12
15.84,2.08,4.01
15.85,2.16,4.02
15.86,2.22,4.16
15.87,2.28,4.2
15.89,2.33,4.21
15.9,2.36,4.16
15.91,2.41,4.05
15.92,2.49,4.04
15.93,2.55,4.11
15.95,2.6,4.14
15.96,2.64,4.1
15.97,2.71,4.02
15.98,2.78,4.05
15.99,2.84,4.18
16.01,2.89,4.21
16.02,2.94,4.13
16.03,2.97,4.09
16.04,3.05,3.97
16.05,3.13,4.07
16.07,3.18,4.24
16.08,3.22,4.2
16.09,3.27,4.08
16.1,3.34,4.01
16.11,3.4,4.12
16.13,3.46,4.18
16.14,3.51,4.18
16.15,3.56,4.14
16.16,3.61,4.11
16.18,3.66,4.07
16.19,3.73,4.04
16.2,3.79,4.15
16.21,3.84,4.19
16.22,3.89,4.17
16.24,3.94,4.11
16.25,4,4.12
16.26,4.05,4.17
16.27,4.1,4.12
16.28,4.15,4.1
16.3,4.21,4.09
16.31,4.27,4.18
16.32,4.31,4.22
16.33,4.35,4.14
16.35,4.39,4.14
16.36,4.44,4.04
16.37,4.5,4.05
16.38,4.56,4.15
16.39,4.6,4.23
16.41,4.64,4.15
16.42,4.68,4.1
16.43,4.73,4.12
16.44,4.78,4.15
16.45,4.82,4.18
16.47,4.86,4.14
16.48,4.9,4.1
16.49,4.94,4.13
16.5,4.99,4.1
16.51,5.03,4.17
16.53,5.06,4.14
16.54,5.1,4.13
16.55,5.15,4.12
16.56,5.17,4.19
16.57,5.21,4.12
16.59,5.25,4.13
16.6,5.27,4.14
16.61,5.32,4.07
16.62,5.36,4.16
16.63,5.39,4.19
16.65,5.42,4.24
16.66,5.44,4.19
16.67,5.47,4.16
16.68,5.5,4.14
16.7,5.53,4.18
16.71,5.55,4.18
16.72,5.59,4.17
16.73,5.61,4.25
16.75,5.61,4.24
16.76,5.65,4.11
16.77,5.67,4.21
16.78,5.7,4.22
16.79,5.71,4.25
16.8,5.74,4.21
16.82,5.75,4.25
16.83,5.77,4.22
16.84,5.78,4.28
16.85,5.8,4.27
16.87,5.81,4.25
16.88,5.83,4.25
16.89,5.86,4.33
16.9,5.86,4.42
16.91,5.87,4.36
16.93,5.88,4.38
16.94,5.88,4.41
16.95,5.89,4.38
16.96,5.91,4.42
16.97,5.92,4.47
16.99,5.91,4.53
17,5.92,4.44
