time(s),p(kPa),Voltage(V)
17.34,0.00,5.76
17.36,0.00,6.67
17.37,0.00,6.74
17.38,0.00,5.99
17.39,0.00,5.58
17.41,0.00,6.37
17.42,0.00,6.84
17.43,0.00,6.31
17.45,0.00,5.90
17.46,0.00,6.20
17.47,0.00,6.80
17.49,0.00,6.51
17.50,0.00,5.98
17.51,0.00,5.94
17.53,0.00,6.64
17.54,0.00,6.72
17.55,0.00,6.34
17.56,0.00,6.15
17.58,0.00,6.48
17.59,0.00,6.70
17.60,0.00,6.54
17.62,0.00,6.23
17.63,0.00,6.31
17.64,0.00,6.65
17.66,0.00,6.61
17.67,0.00,6.30
17.68,0.00,6.27
17.70,0.00,6.59
17.71,0.00,6.67
17.72,0.00,6.37
17.73,0.00,6.32
17.75,0.00,6.51
17.76,0.00,6.70
17.77,0.00,6.52
17.79,0.00,6.22
17.80,0.00,6.40
17.81,0.00,6.61
17.83,0.00,6.52
17.84,0.00,6.33
17.85,0.00,6.29
17.86,0.00,6.44
17.88,0.00,6.49
17.89,0.00,6.44
17.90,0.00,6.36
17.92,0.00,6.26
17.93,0.00,6.30
17.94,0.00,6.48
17.96,0.00,6.39
17.97,0.00,6.28
17.98,0.00,6.21
18.00,0.00,6.35
18.01,0.00,6.38
18.02,0.00,6.40
18.03,0.00,6.29
18.05,0.00,6.30
18.06,0.00,6.19
18.07,0.00,6.20
18.09,0.00,6.32
18.10,0.00,6.44
18.11,0.00,6.32
18.13,0.00,6.19
18.14,0.00,6.17
18.15,0.00,6.30
18.17,0.00,6.26
18.18,0.00,6.24
18.19,0.00,6.35
18.20,0.00,6.32
18.22,0.00,6.14
18.23,0.00,6.23
18.24,0.00,6.32
18.26,0.00,6.15
18.27,0.00,6.08
18.28,0.00,6.16
18.29,0.00,6.35
18.31,0.00,6.27
18.32,0.00,6.21
18.33,0.00,6.14
18.35,0.00,6.30
18.36,0.00,6.22
18.37,0.00,6.25
18.39,0.00,6.16
18.40,0.00,6.18
18.41,0.00,6.20
18.43,0.00,6.34
18.44,0.00,6.22
18.45,0.00,6.12
18.46,0.00,6.23
18.48,0.00,6.22
18.49,0.00,6.22
18.50,0.00,6.21
18.52,0.00,6.18
18.53,0.00,6.16
18.54,0.00,6.13
18.56,0.00,6.09
18.57,0.00,6.05
18.58,0.00,6.13
18.59,0.00,6.20
18.61,0.00,6.26
18.62,0.00,6.20
18.63,0.00,6.13
18.65,0.00,6.06
18.66,0.00,6.11
